Ride Name,Land,Latitude,Longitude,Number Nam,Park Name,country,district,state,capacidade
Feathered Friends in Flight!,Asia,"28.3586613","-81.5900396","8",Animal kingdom,USA,Lake Buena Vista,FL,"500"
Kali River Rapids,Asia,"28.358999","-81.5887236","8",Animal kingdom,USA,Lake Buena Vista,FL,"1620"
DINOSAUR,Dinoland U.S.A,"28.3553527","-81.5883269","8",Animal kingdom,USA,Lake Buena Vista,FL,"2400"
Finding Nemo: The Big Blue... and Beyond!,Dinoland U.S.A,"28.3570779","-81.5869756","8",Animal kingdom,USA,Lake Buena Vista,FL,"1500"
The Boneyard,Dinoland U.S.A,"28.3564143","-81.5881954","8",Animal kingdom,USA,Lake Buena Vista,FL,"1200"
TriceraTop Spin,Dinoland U.S.A,"28.3564711","-81.588073","8",Animal kingdom,USA,Lake Buena Vista,FL,"1200"
Animal Encounters: Winged Encounters – The Kingdom Takes Flight,Discovery Island,"28.3574423","-81.5905788","8",Animal kingdom,USA,Lake Buena Vista,FL,"350"
It's Tough to be a Bug!,Discovery Island,"28.3574635","-81.5900963","8",Animal kingdom,USA,Lake Buena Vista,FL,"1800"
Meet Favorite Disney Pals at Adventurers Outpost,Discovery Island,"28.3572325","-81.5905611","8",Animal kingdom,USA,Lake Buena Vista,FL,"350"
Avatar Flight of Passage,Pandora - The World of Avatar,"28.3546987","-81.5922927","8",Animal kingdom,USA,Lake Buena Vista,FL,"1600"
Na'vi River Journey,Pandora - The World of Avatar,"28.3547519","-81.5916246","8",Animal kingdom,USA,Lake Buena Vista,FL,"1800"
The Animation Experience at Conservation Station,Rafiki's Planet Watch,"28.3652923","-81.5885256","8",Animal kingdom,USA,Lake Buena Vista,FL,"350"
